"sourceCode","sourceName","sourceFrequency","sourceAutoAssignedConceptIds","ADD_INFO:bno_name","ADD_INFO:orig_name","matchScore","mappingStatus","equivalence","statusSetBy","statusSetOn","conceptId","conceptName","domainId","mappingType","comment","createdBy","createdOn","assignedReviewer"
"A0000","Cholera (caused by Vibrio cholerae 01, cholera biovariant)",-1,0,"Cholera (Vibrio cholerae 01, cholera biovariáns okozta)","Cholera (Vibrio cholerae 01, cholera biovariáns okozta)",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4344638,"Cholera due to Vibrio cholerae O1 Classical biotype","Condition","MAPS_TO",,,0,
"A00001","Cholera (subdivided)",-1,0,"Cholera (alábontva)","Cholera (alábontva)",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4344638,"Cholera due to Vibrio cholerae O1 Classical biotype","Condition","MAPS_TO",,,0,
"A00001","Cholera (subdivided)",-1,0,"Cholera (alábontva)","Cholera (alábontva)",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,198677,"Cholera","Condition","MAPS_TO",,,0,
"A0010","Cholera (Vibrio cholerae 01, caused by El Tor biovariant)",-1,0,"Cholera (Vibrio cholerae 01, El Tor biovariáns okozta)","Cholera (Vibrio cholerae 01, El Tor biovariáns okozta)",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,200629,"Cholera due to Vibrio cholerae El Tor","Condition","MAPS_TO",,,0,
"A0090","Cholera k.m.n.",-1,0,"Cholera k.m.n.","Cholera k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,198677,"Cholera","Condition","MAPS_TO",,,0,
"A0100","Hastyphus",-1,0,"Hastyphus","Hastyphus",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,192819,"Typhoid fever","Condition","MAPS_TO",,,0,
"A0110","Paratyphus ""A""",-1,0,"Paratyphus ""A""","Paratyphus ""A""",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,195460,"Paratyphoid A fever","Condition","MAPS_TO",,,0,
"A0120","Paratyphus ""B""",-1,0,"Paratyphus ""B""","Paratyphus ""B""",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,193953,"Paratyphoid B fever","Condition","MAPS_TO",,,0,
"A0130","Paratyphus ""C""",-1,0,"Paratyphus ""C""","Paratyphus ""C""",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,442291,"Paratyphoid C fever","Condition","MAPS_TO",,,0,
"A0140","Paratyphus k.m.n.",-1,0,"Paratyphus k.m.n.","Paratyphus k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,195177,"Paratyphoid fever","Condition","MAPS_TO",,,0,
"A0200","Salmonella enteritis",-1,0,"Salmonella bélhurut","Salmonella bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,196328,"Salmonella gastroenteritis","Condition","MAPS_TO",,,0,
"A0210","Salmonella sepsis",-1,0,"Salmonella sepsis","Salmonella sepsis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,40493039,"Sepsis due to Salmonella","Condition","MAPS_TO",,,0,
