IngredientCode,IngredientName,IngredientNameEnglish,CASNumber,MatchString,SourceCount,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,ATC
,CARBON DIOXID,CARBON DIOXID,,"SourceTerm - Ingredient Term (Standardised) (""CARBON DIOXID"")",-1,19046180,CARBON DIOXIDE,Drug,RxNorm,Ingredient,S,2034,1970-01-01,2099-12-31,,V03AN02
,EXENATID,EXENATID,,"SourceTerm - Ingredient Term (Standardised) (""EXENATID"")",-1,1583722,EXENATIDE,Drug,RxNorm,Ingredient,S,60548,2006-02-26,2099-12-31,,
,CARBON DIOXID,CARBON DIOXID,,"SourceTerm - Ingredient Term (Standardised) (""CARBON DIOXID"")",-1,19046180,CARBON DIOXIDE,Drug,RxNorm,Ingredient,S,2034,1970-01-01,2099-12-31,,V03AN02
(TETRAKIS-(2-METOXI-2-METILPROPIL-1-IZOCIANID)-RÉZ(I))-TETRAFLUOROBORÁT,(TETRAKIS-(2-METOXI-2-METILPROPIL-1-IZOCIANID)-RÉZ(I))-TETRAFLUOROBORÁT,(TETRAKIS-(2-METOXI-2-METILPROPIL-1-IZOCIANID)-RÉZ(I))-TETRAFLUOROBORÁT,,"Manual Overrule Mapping (""(TETRAKIS-(2-METOXI-2-METILPROPIL-1-IZOCIANID)-RÉZ(I))-TETRAFLUOROBORÁT"")",-1,42900107,TETRAKIS(1-ISOCYANO-2-METHOXY-2-METHYL-PROPANE)-COPPER(I) TETRAFLUOROBORATE,Drug,RxNorm,Ingredient,S,1306061,2012-10-01,2099-12-31,,
13C-UREA,13C-UREA,13C-UREA,,"SourceTerm - Ingredient Relationship (Sorted, Standardised) ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""13C-UREA"")",-1,906914,UREA,Drug,RxNorm,Ingredient,S,11002,1970-01-01,2099-12-31,,D02AE51
2-HYDROXY-4-METHYLTHIOBUTYRIC ACID,2-HYDROXY-4-METHYLTHIOBUTYRIC ACID,2-HYDROXY-4-METHYLTHIOBUTYRIC ACID,,"SourceTerm - Ingredient Term (""2-HYDROXY-4-METHYLTHIOBUTYRIC ACID"")",-1,40798576,2-HYDROXY-4-METHYLTHIOBUTYRIC ACID,Drug,RxNorm Extension,Ingredient,S,OMOP2720919,2017-07-18,2099-12-31,,
2-OXO-3-PHENYLPROPANIC ACID,2-OXO-3-PHENYLPROPANIC ACID,2-OXO-3-PHENYLPROPANIC ACID,,"Manual Overrule Mapping (""2-OXO-3-PHENYLPROPANIC ACID"")",-1,36878649,2-OXO-3-PHENYL-PROPANOATE CALCIUM,Drug,RxNorm Extension,Ingredient,S,OMOP999378,1970-01-01,2099-12-31,,
"3,4-DICHLORO-N-(4-CHLOROPHENYL)BENZENESULPHONAMIDE","3,4-DICHLORO-N-(4-CHLOROPHENYL)BENZENESULPHONAMIDE","3,4-DICHLORO-N-(4-CHLOROPHENYL)BENZENESULPHONAMIDE",,"Manual Overrule Mapping (""3,4-DICHLORO-N-(4-CHLOROPHENYL)BENZENESULPHONAMIDE"")",-1,1704758,TRICLOSAN,Drug,RxNorm,Ingredient,S,10795,1970-01-01,2099-12-31,,
3-METHYL-2 OXOVALERIC ACID,3-METHYL-2 OXOVALERIC ACID,3-METHYL-2 OXOVALERIC ACID,,"Manual Overrule Mapping (""3-METHYL-2 OXOVALERIC ACID"")",-1,40798560,(RS)-3 METHYL-2-OXOVALERIANIC ACID,Drug,RxNorm Extension,Ingredient,S,OMOP2720903,2017-07-18,2099-12-31,,
3-METHYL-2-OXOBUTYRIC ACID,3-METHYL-2-OXOBUTYRIC ACID,3-METHYL-2-OXOBUTYRIC ACID,,"Manual Overrule Mapping (""3-METHYL-2-OXOBUTYRIC ACID"")",-1,40798561,(RS)-3-METHYL-2-OXOBUTYRIC ACID,Drug,RxNorm Extension,Ingredient,S,OMOP2720904,2017-07-18,2099-12-31,,
4-METHYL-2-OXOVALERIC ACID,4-METHYL-2-OXOVALERIC ACID,4-METHYL-2-OXOVALERIC ACID,,"Manual Overrule Mapping (""4-METHYL-2-OXOVALERIC ACID"")",-1,40798560,(RS)-3 METHYL-2-OXOVALERIANIC ACID,Drug,RxNorm Extension,Ingredient,S,OMOP2720903,2017-07-18,2099-12-31,,
ABACAVIR,ABACAVIR,ABACAVIR,,"SourceTerm - Ingredient Term (""ABACAVIR"")",-1,1736971,ABACAVIR,Drug,RxNorm,Ingredient,S,190521,1970-01-01,2099-12-31,,
ABATACEPT,ABATACEPT,ABATACEPT,,"SourceTerm - Ingredient Term (""ABATACEPT"")",-1,1186087,ABATACEPT,Drug,RxNorm,Ingredient,S,614391,2006-03-12,2099-12-31,,L04AA24
