source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
210000070,0,,ACC 100 MG GRANULÁTUM GYERMEKEKNEK30X3 G TASAKBAN,41025620,RxNorm Extension,2025-05-07,,
210000088,0,,ACC 100 MG GRANULÁTUM GYERMEKEKNEK20X3 G TASAKBAN,41025620,RxNorm Extension,2025-05-07,,
210000096,0,,ACC 200 MG GRANULÁTUM30X3 G,41182151,RxNorm Extension,2025-05-07,,
210000101,0,,ACC 200 MG GRANULÁTUM20X3 G,41182151,RxNorm Extension,2025-05-07,,
210000119,0,,"ALPHA D3 0,25 MIKROGRAMM LÁGY KAPSZULA60X",19060004,RxNorm,2025-05-07,,
210000127,0,,ALPHA D3 1 MIKROGRAMM LÁGY KAPSZULA30X,19014203,RxNorm,2025-05-07,,
210000282,0,,ACEPRAMIN GRANULÁTUM240 G,1369939,RxNorm,2025-05-07,,
210000339,0,,ACIDUM NICOTINICUM VASC 50 MG TABLETTA100X,19020516,RxNorm,2025-05-07,,
210000347,0,,ACIDUM NICOTINICUM VASC 50 MG TABLETTA20X,19020516,RxNorm,2025-05-07,,
210000355,0,,ACIPHEN KENŐCS1X20 G,40056430,RxNorm,2025-05-07,,
210000614,0,,"AFRIN 0,5 MG/ML OLDATOS ORRSPRAY1X20 ML",40066620,RxNorm,2025-05-07,,
210000656,0,,AKINETON 5 MG/ML OLDATOS INJEKCIÓ5X1 ML,41274467,RxNorm Extension,2025-05-07,,
210000664,0,,AKINETON 2 MG TABLETTA50X,40162855,RxNorm,2025-05-07,,
210000672,0,,AKNEMYCIN 20 MG/G KÜLSŐLEGES OLDAT50 ML,40041279,RxNorm,2025-05-07,,
210000680,0,,AKNEROXID 50 MG/G GÉL50 G,918172,RxNorm,2025-05-07,,
210000698,0,,AKNEROXID 100 MG/G GÉL50 G,918172,RxNorm,2025-05-07,,
210000842,0,,ALEXAN 20 MG/ML OLDATOS INJEKCIÓ VAGY INFÚZIÓ10X5 ML,41242653,RxNorm Extension,2025-05-07,,
210000850,0,,ALEXAN 50 MG/ML OLDATOS INJEKCIÓ VAGY INFÚZIÓ1X20 ML,44032873,RxNorm Extension,2025-05-07,,
210000884,0,,ALFETIM SR 5 MG RETARD FILMTABLETTA28X,19063101,RxNorm,2025-05-07,,
210000892,0,,ALFETIM SR 5 MG RETARD FILMTABLETTA56X,19063101,RxNorm,2025-05-07,,
210000907,0,,ALGESAL KRÉM50 G,19029278,RxNorm,2025-05-07,,
210000907,0,,ALGESAL KRÉM50 G,19080395,RxNorm,2025-05-07,,
210000907,0,,ALGESAL KRÉM50 G,964407,RxNorm,2025-05-07,,
210000981,0,,ALKALIGEN OLDATOS INFÚZIÓ400 ML,40078847,RxNorm,2025-05-07,,
210000999,0,,ALKCEMA KENŐCS1X25 G,1790812,RxNorm,2025-05-07,,
210000999,0,,ALKCEMA KENŐCS1X25 G,903963,RxNorm,2025-05-07,,
210001026,0,,ALKSEBOR KENŐCS20 G,1790812,RxNorm,2025-05-07,,
210001026,0,,ALKSEBOR KENŐCS20 G,988294,RxNorm,2025-05-07,,
210001026,0,,ALKSEBOR KENŐCS20 G,19008339,RxNorm,2025-05-07,,
210001026,0,,ALKSEBOR KENŐCS20 G,19009540,RxNorm,2025-05-07,,
210001107,0,,ALSOL KENŐCS18 G,40093194,RxNorm,2025-05-07,,
210001115,0,,ALSOL KENŐCS45 G,40093194,RxNorm,2025-05-07,,
210001157,0,,"AMBROBENE 7,5 MG/ML BELSŐLEGES OLDAT100 ML",40008439,RxNorm,2025-05-07,,
210001165,0,,"AMBROBENE 7,5 MG/ML BELSŐLEGES OLDAT40 ML",40008439,RxNorm,2025-05-07,,
210001173,0,,"AMBROBENE LIQUID 7,5 MG/ML OLDATOS INJEKCIÓ5X2ML AMPULLA",40008436,RxNorm,2025-05-07,,
210001181,0,,TEVA-AMBROBENE 15 MG/5 ML SZIRUP1X100 ML + POLISZTOROL ADAGOLÓ POHÁR,19108252,RxNorm,2025-05-07,,
210001199,0,,"TEVA-AMBROBENE 30 MG TABLETTA20X FEHÉR, ÁTLÁTSZATLAN PVC/AL BUBORÉKCSOMAGOLÁSBAN ÉS DOBOZBAN",19060251,RxNorm,2025-05-07,,
210001204,0,,AMBROXOL-TEVA 75 MG RETARD KEMÉNY KAPSZULA10X,19088191,RxNorm,2025-05-07,,
210001212,0,,AMBROXOL-TEVA 75 MG RETARD KEMÉNY KAPSZULA20X,19088191,RxNorm,2025-05-07,,
210001238,0,,AMBROXOL-TEVA 3 MG/ML SZIRUP1X100 ML ÜVEGBEN + ADAGOLÓPOHÁR PAPÍRDOBOZBAN,19088167,RxNorm,2025-05-07,,
210001246,0,,AMBROXOL-TEVA 30 MG TABLETTA20X,19060251,RxNorm,2025-05-07,,
210001301,0,,AMILORID COMP PHARMAVIT TABLETTA30X,40177826,RxNorm,2025-05-07,,
210001597,0,,ANAFRANIL 10 MG BEVONT TABLETTA30X,40163059,RxNorm,2025-05-07,,
210001602,0,,ANAFRANIL 25 MG BEVONT TABLETTA30X,40163065,RxNorm,2025-05-07,,
210001610,0,,ANAFRANIL 25 MG/2 ML OLDATOS INJEKCIÓ10X2 ML,35133402,RxNorm Extension,2025-05-07,,
210001628,0,,ANAFRANIL SR 75 MG RETARD TABLETTA20X,40163075,RxNorm,2025-05-07,,
210001759,0,,"ANEXATE 0,1 MG/ML OLDATOS INJEKCIÓ5X5 ML",35854781,RxNorm Extension,2025-05-07,,
210001822,0,,ANTAETHYL 500 MG TABLETTA20X (PP TARTÁLYBAN),735882,RxNorm,2025-05-07,,
210002072,0,,ANTITHROMBIN III BAXALTA 1000 NE POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ ILLETVE INFÚZIÓHOZ1 PORAMP.+1X20 ML,1436169,RxNorm,2025-05-07,,
210002103,0,,ANTITHROMBIN III BAXALTA 500 NE POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ ILLETVE INFÚZIÓHOZ1 PORAMP.+1X10 ML,2058183,RxNorm Extension,2025-05-07,,
210002187,0,,APRANAX 275 MG FILMTABLETTA30X,1115126,RxNorm,2025-05-07,,
210002195,0,,APRANAX 550 MG FILMTABLETTA30X,1115129,RxNorm,2025-05-07,,
210002349,0,,ARDUAN 4 MG POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ25 PORÜV.+25 OLDÓSZERAMP.,41271314,RxNorm Extension,2025-05-07,,
210002438,0,,"ARUTIMOL 5 MG/ML OLDATOS SZEMCSEPP1X5 ML PP KUPAKKAL, SZÍNTELEN PE CSEPPENTőS TARTÁLYBAN",40087912,RxNorm,2025-05-07,,
210002454,0,,ASPIRIN PLUS C PEZSGŐTABLETTA5X2,36890898,RxNorm Extension,2025-05-07,,
210002624,0,,"ASTONIN 0,1 MG TABLETTA100X TARTÁLYBAN",1555142,RxNorm,2025-05-07,,
210002632,0,,ASTRIX 100 MG GYOMORNEDV-ELLENÁLLÓ KEMÉNY KAPSZULA30X,42483115,RxNorm Extension,2025-05-07,,
210002640,0,,ATENATIV 50 NE/ML POR ÉS OLDÓSZER OLDATOS INFÚZIÓHOZ VAGY INJEKCIÓHOZ1X500 NE,1436169,RxNorm,2025-05-07,,
210002763,0,,ATROPINUM SULFURICUM-EGIS 1 MG/ML OLDATOS INJEKCIÓ10X1 ML,41118947,RxNorm Extension,2025-05-07,,
210002828,0,,"AUGMENTIN 125 MG/31,25 MG/5 ML POR BELSŐLEGES SZUSZPENZIÓHOZ100 ML",43204607,RxNorm Extension,2025-05-07,,
210002836,0,,"AUGMENTIN 250 MG/62,5 MG/5 ML POR BELSŐLEGES SZUSZPENZIÓHOZ100 ML",43204607,RxNorm Extension,2025-05-07,,
210002844,0,,AUGMENTIN 250 MG/125 MG FILMTABLETTA21X,1713671,RxNorm,2025-05-07,,
210002886,0,,AUGMENTIN 500 MG/125 MG FILMTABLETTA21X,1713694,RxNorm,2025-05-07,,
210002909,0,,AUROBIN KENŐCS20 G,988294,RxNorm,2025-05-07,,
210002909,0,,AUROBIN KENŐCS20 G,989878,RxNorm,2025-05-07,,
210002909,0,,AUROBIN KENŐCS20 G,1550557,RxNorm,2025-05-07,,
210003125,0,,BACTROBAN 20 MG/G KENŐCS1X15 G,40062282,RxNorm,2025-05-07,,
210003303,0,,BATRAFEN 10 MG/G KRÉM20 G,950098,RxNorm,2025-05-07,,
210003557,0,,BENFOGAMMA 50 MG BEVONT TABLETTA1000X,19107505,RxNorm,2025-05-07,,
210003565,0,,BENFOGAMMA 50 MG BEVONT TABLETTA100X,19107505,RxNorm,2025-05-07,,
210003573,0,,BENFOGAMMA 50 MG BEVONT TABLETTA500X,19107505,RxNorm,2025-05-07,,
210003581,0,,BENFOGAMMA 50 MG BEVONT TABLETTA50X,19107505,RxNorm,2025-05-07,,
210003638,0,,BERIATE 100 NE/ML POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ VAGY INFÚZIÓHOZ1X500NE POR INJ. ÜVEGBEN+1X5ML OLDÓSZER INJ. ÜVEGBEN (I-ES TÍPUSÚ),1352213,RxNorm,2025-05-07,,
210003670,0,,BETACID GRANULÁTUM BELSŐLEGES OLDATHOZ50 G,1520218,RxNorm,2025-05-07,,
210003670,0,,BETACID GRANULÁTUM BELSŐLEGES OLDATHOZ50 G,19031378,RxNorm,2025-05-07,,
210003696,0,,BETADINE INTIMA HÜVELYKÚP14X,2011661,RxNorm Extension,2025-05-07,,
210003701,0,,BETADINE KENŐCS1X20 G,40078002,RxNorm,2025-05-07,,
210003719,0,,BETALOC 1 MG/ML OLDATOS INJEKCIÓ5X5 ML,35869167,RxNorm Extension,2025-05-07,,
210003727,0,,BETALOC 50 MG TABLETTA30X,40167218,RxNorm,2025-05-07,,
210003735,0,,BETALOC 50 MG TABLETTA100X,40167218,RxNorm,2025-05-07,,
210003743,0,,BETALOC ZOK 100 MG RETARD TABLETTA30X HDPE TARTÁLY,40167200,RxNorm,2025-05-07,,
210003751,0,,BETALOC 100 MG TABLETTA20X,40167202,RxNorm,2025-05-07,,
210003769,0,,BETASERC 16 MG TABLETTA60X,19020127,RxNorm,2025-05-07,,
210003777,0,,BETASERC 8 MG TABLETTA100X,19004934,RxNorm,2025-05-07,,
