"sourceCode","sourceName","sourceFrequency","sourceAutoAssignedConceptIds","ADD_INFO:oeno_name","matchScore","mappingStatus","equivalence","statusSetBy","statusSetOn","conceptId","conceptName","domainId","mappingType","comment","createdBy","createdOn","assignedReviewer"
"11301","Control examination, consultation",-1,0,"Kontrollvizsgálat, konzílium",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4307024,Follow-up encounter,Observation,MAPS_TO,,,0,
"11301","Control examination, consultation",-1,0,"Kontrollvizsgálat, konzílium",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4014829,Consultation,Observation,MAPS_TO,,,0,
"11041",Examination,-1,0,Vizsgálat,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4201409,Examination - action,Observation,MAPS_TO,,,0,
"81929","Treatment of contaminated, infected wound, dressing (septic)",-1,0,"Szennyezett, fertőzött seb ellátása, kötözése (szeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4080499,Dressing of wound,Procedure,MAPS_TO,,,0,
"81929","Treatment of contaminated, infected wound, dressing (septic)",-1,0,"Szennyezett, fertőzött seb ellátása, kötözése (szeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4075964,Cleaning wound,Procedure,MAPS_TO,,,0,
"81929","Treatment of contaminated, infected wound, dressing (septic)",-1,0,"Szennyezett, fertőzött seb ellátása, kötözése (szeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4081870,Change of wound pack,Procedure,MAPS_TO,,,0,
"81929","Treatment of contaminated, infected wound, dressing (septic)",-1,0,"Szennyezett, fertőzött seb ellátása, kötözése (szeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4256346,Dressing change/wound care case management,Procedure,MAPS_TO,,,0,
"81929","Treatment of contaminated, infected wound, dressing (septic)",-1,0,"Szennyezett, fertőzött seb ellátása, kötözése (szeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4081869,Packing of wound,Procedure,MAPS_TO,,,0,
"81924","Wound dressing, dressing change (aseptic)",-1,0,"Sebkötözés, kötéscsere (aszeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4080499,Dressing of wound,Procedure,MAPS_TO,,,0,
"81924","Wound dressing, dressing change (aseptic)",-1,0,"Sebkötözés, kötéscsere (aszeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,37208106,Change of surgical wound dressing done,Observation,MAPS_TO,,,0,
"81924","Wound dressing, dressing change (aseptic)",-1,0,"Sebkötözés, kötéscsere (aszeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4256346,Dressing change/wound care case management,Procedure,MAPS_TO,,,0,
"81924","Wound dressing, dressing change (aseptic)",-1,0,"Sebkötözés, kötéscsere (aszeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4081870,Change of wound pack,Procedure,MAPS_TO,,,0,
"81924","Wound dressing, dressing change (aseptic)",-1,0,"Sebkötözés, kötéscsere (aszeptikus)",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4081869,Packing of wound,Procedure,MAPS_TO,,,0,
"88860",Preventive treatment of vascular complications,-1,0,Értorna érszövődmények megelőzésére,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4303299,Circulatory precautions,Procedure,MAPS_TO,,,0,
"88860",Preventive treatment of vascular complications,-1,0,Értorna érszövődmények megelőzésére,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4061660,Preventive procedure,Procedure,MAPS_TO,,,0,
"88860",Preventive treatment of vascular complications,-1,0,Értorna érszövődmények megelőzésére,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4079927,Cardiovascular retraining,Observation,MAPS_TO,,,0,
"88860",Preventive treatment of vascular complications,-1,0,Értorna érszövődmények megelőzésére,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4045291,Circulatory exercises,Observation,MAPS_TO,,,0,
"86316",Iontophoresis treatment,-1,0,Iontophoresis kezelés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4238920,Iontophoresis procedure,Observation,MAPS_TO,,,0,
"36130","Abdominal (review, complex) UH scan",-1,0,"Hasi (áttekintő, komplex) UH vizsgálat",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4261497,Ultrasonography of abdomen,Procedure,MAPS_TO,,,0,
"36130","Abdominal (review, complex) UH scan",-1,0,"Hasi (áttekintő, komplex) UH vizsgálat",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4305221,US scan of abdomen and pelvis,Procedure,MAPS_TO,,,0,
"12601",ECG with limb and chest leads,-1,0,EKG végtag és mellkaselvezetéssel,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4145308,"12 lead ECG",Procedure,MAPS_TO,,,0,
"86921",Magnetotherapy,-1,0,Magnetoterápia,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4023026,Complementary therapy,Procedure,MAPS_TO,,,0,
"86921",Magnetotherapy,-1,0,Magnetoterápia,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4210260,Electromagnetic energy therapy,Procedure,MAPS_TO,,,0,
"31312","Chest radiograph, bilateral",-1,0,"Mellkasfelvétel, kétirányú",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4071504,"Diagnostic radiography, combined PA and lateral",Procedure,MAPS_TO,,,0,
"31312","Chest radiograph, bilateral",-1,0,"Mellkasfelvétel, kétirányú",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4181300,"Diagnostic radiography of chest, combined PA and lateral",Procedure,MAPS_TO,,,0,
"31310","Chest radiograph, AP/PA",-1,0,"Mellkasfelvétel, AP/PA",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4163872,Plain chest X-ray,Procedure,MAPS_TO,,,0,
"12320",Whispered (conversational) speech test,-1,0,Súgott (társalgó) beszédvizsgálat,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4134565,Hearing examination,Procedure,MAPS_TO,,,0,
"12320",Whispered (conversational) speech test,-1,0,Súgott (társalgó) beszédvizsgálat,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4091879,Hearing assessment using speech material,Procedure,MAPS_TO,,,0,
"94530",Muscle strengthening exercises,-1,0,Izomerősítő gyakorlatok,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4271048,Muscular strength development exercise,Observation,MAPS_TO,,,0,
"94640",Joint mobilisation,-1,0,Ízület mobilizálás,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4096650,Joint mobilization,Observation,MAPS_TO,,,0,
"13623",Examination of range of motion in the extremity joints,-1,0,Mozgásterjedelem vizsgálata a végtagi ízületekben,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4264818,Range of joint movement,Observation,MAPS_TO,,,0,
"89442",Pulse oximetry,-1,0,Pulzoxymetria,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4098046,Pulse oximetry,Measurement,MAPS_TO,,,0,
"94701",Individual gymnastics,-1,0,Egyéni torna,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4093913,Individual exercises,Observation,MAPS_TO,,,0,
"11030",Emergency patient classification (triage),-1,0,Sürgősségi beteg osztályozás (triázs),1,APPROVED,EQUIVALENT,Hungarian national Node,0,4075112,Emergency examination for triage,Procedure,MAPS_TO,,,0,
"12005",Coordination test,-1,0,Koordinatio vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4162447,Romberg test,Procedure,MAPS_TO,,,0,
"12005",Coordination test,-1,0,Koordinatio vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4171929,Examination of gait,Procedure,MAPS_TO,,,0,
"12005",Coordination test,-1,0,Koordinatio vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,44788943,Speech assessment,Procedure,MAPS_TO,,,0,
"43598",SARS -CoV-2 vaccination,-1,0,,1,APPROVED,EQUIVALENT,Hungarian national Node,0,724904,"SARS-COV-2 (COVID-19) vaccine, UNSPECIFIED",Drug,MAPS_TO,,,0,
"83000",Fixation by bandage,-1,0,Rögzítés kötéssel,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4195407,Dressing and fixation procedure,Procedure,MAPS_TO,,,0,
"88911",Surface anaesthesia,-1,0,Felszíni érzéstelenítés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4305068,Topical local anesthetic,Procedure,MAPS_TO,,,0,
"13622",Muscle function testing of the whole body,-1,0,Izomfunkció vizsgálat a teljes testen,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4065420,Skeletomuscular function test,Procedure,MAPS_TO,,,0,
"86911",Ultrasound treatment,-1,0,Ultrahang kezelés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4230801,Therapeutic ultrasound,Procedure,MAPS_TO,,,0,
"12130",Biomicroscopic examination of vitreous body,-1,0,Üvegtest biomikroszkópos vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4259495,Slit lamp fundus examination,Procedure,MAPS_TO,,,0,
"36150",Pelvic transabdominal UH scan,-1,0,Kismedence transabdominalis UH vizsgálat,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4086677,Pelvic echography,Procedure,MAPS_TO,,,0,
"17310",Functional testing of peripheral circulation,-1,0,Perifériás keringés funkcionális vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4149240,Circulatory function tests,Procedure,MAPS_TO,,,0,
"88870",Physiotherapy to improve circulation,-1,0,Keringésjavító fizioterápia,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4045291,Circulatory exercises,Observation,MAPS_TO,,,0,
"94504",Individual physiotherapy for each body region,-1,0,Testtájankénti egyéni gyógytorna,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4093913,Individual exercises,Observation,MAPS_TO,,,0,
"1930D",Psychiatric cross-sectional status,-1,0,Pszichiátriai keresztmetszeti status,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4234705,Evaluation of psychiatric state of patient,Procedure,MAPS_TO,,,0,
"1930D",Psychiatric cross-sectional status,-1,0,Pszichiátriai keresztmetszeti status,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4190991,Assessment of mental status by psychiatrist,Procedure,MAPS_TO,,,0,
"13621",Range of motion examination of the spine,-1,0,Mozgásterjedelem vizsgálata a gerinc területén,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4237242,Biomechanical therapeutic activity,Observation,MAPS_TO,,,0,
"13621",Range of motion examination of the spine,-1,0,Mozgásterjedelem vizsgálata a gerinc területén,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4229706,Spine - range of movement,Observation,MAPS_TO,,,0,
"36135",Renal UH examination,-1,0,Vese UH vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4147846,Echography of kidney,Procedure,MAPS_TO,,,0,
"58900",Skin suture,-1,0,Bőrvarrat,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4213005,Closure of skin by suture,Procedure,MAPS_TO,,,0,
"88970",Suture and/or grafting,-1,0,Varrat és/vagy kapocsszedés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4147691,Removal of suture,Procedure,MAPS_TO,,,0,
"88970",Suture and/or grafting,-1,0,Varrat és/vagy kapocsszedés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4118087,Removal of clip from skin,Procedure,MAPS_TO,,,0,
"98750",Pulmonary homogeneous care (collector) code,-1,0,Tüdőgyógyászati homogén gondozói (gyűjtő) kód,1,APPROVED,EQUIVALENT,Hungarian national Node,0,0,No matching concept,Metadata,MAPS_TO,,,0,
"12204","Ophthalmoscopy, binocular, indirect method",-1,0,"Ophthalmoscopia, binocularis, indirekt módszerrel",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4256378,Binocular indirect ophthalmoscopy,Procedure,MAPS_TO,,,0,
"85881",Administration of infusion,-1,0,Infúzió adása,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4269838,Infusion,Procedure,MAPS_TO,,,0,
"29602",Diagnostic gynaecological cytological examination,-1,0,Diagnosztikus nőgyógyászati citológiai vizsgálat,1,APPROVED,EQUIVALENT,Hungarian national Node,0,44788662,Cervical cytology claim,Observation,MAPS_TO,,,0,
"93493",Training in the use of medical devices,-1,0,Gyógyászati segédeszköz használatának betanítása,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4151485,Patient education,Procedure,MAPS_TO,,,0,
"93493",Training in the use of medical devices,-1,0,Gyógyászati segédeszköz használatának betanítása,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4153195,Assistive device education,Procedure,MAPS_TO,,,0,
"12001","State of consciousness, sleep/wakefulness control testing",-1,0,"Tudatállapot, alvás/ébrenlét vezérlésének vizsgálata",1,APPROVED,EQUIVALENT,Hungarian national Node,0,40480653,Assessment of consciousness level,Procedure,MAPS_TO,,,0,
"12001","State of consciousness, sleep/wakefulness control testing",-1,0,"Tudatállapot, alvás/ébrenlét vezérlésének vizsgálata",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4013012,Sleep disorder assessment,Procedure,MAPS_TO,,,0,
"94712","Massage, manual",-1,0,"Masszázs, kézzel",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4302819,Massage physiotherapy,Observation,MAPS_TO,,,0,
"99995",Additional point from age 3 to age 10,-1,0,Kiegészítő pont betöltött 3 éves kortól a 10 éves kor betöltéséig,1,APPROVED,EQUIVALENT,Hungarian national Node,0,0,No matching concept,Metadata,MAPS_TO,,,0,
"86318",Diadynamic-interference treatment,-1,0,Diadynamic-interferencia kezelés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4059953,Electrotherapy,Procedure,MAPS_TO,,,0,
"86318",Diadynamic-interference treatment,-1,0,Diadynamic-interferencia kezelés,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4039583,Interferential therapy,Observation,MAPS_TO,,,0,
"12006",Examination of the vegetative nervous system,-1,0,Vegetatív idegrendszer vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4038769,Brief nervous system examination,Procedure,MAPS_TO,,,0,
"12006",Examination of the vegetative nervous system,-1,0,Vegetatív idegrendszer vizsgálata,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4301634,Autonomic nervous system function,Observation,MAPS_TO,,,0,
"85880",Intravenous injection,-1,0,Intravénás injectio,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4181778,Intravenous injection,Procedure,MAPS_TO,,,0,
"94722","Chest physiotherapy, breathing exercises",-1,0,"Mellkasi gyógytorna, légzőtorna",1,APPROVED,EQUIVALENT,Hungarian national Node,0,4029804,Physiotherapeutic breathing exercise,Observation,MAPS_TO,,,0,
"16990",Dermatoscopy,-1,0,Dermatoscopia,1,APPROVED,EQUIVALENT,Hungarian national Node,0,4145669,Diagnostic dermatoscopy of skin,Procedure,MAPS_TO,,,0,
